,Sample1,Sample2,L1norm,comp,n_sites
34,K002188_S22.lf_filt,KPCOVID-0011_S9.lf_filt,20.045037999999998,36,1421
35,K002188_S22.lf_filt,KPCOVID-0016_S4.lf_filt,26.683234,37,1421
36,K002188_S22.lf_filt,KPCOVID-0017_S5.lf_filt,19.384048,38,1421
37,K002188_S22.lf_filt,KPCOVID-0021REP_S7.lf_filt,52.77641,39,1421
38,K002188_S22.lf_filt,KPCOVID-0026_S4.lf_filt,27.801962,40,1421
39,K002188_S22.lf_filt,KPCOVID-0033_S11.lf_filt,28.714996000000003,41,1421
40,K002188_S22.lf_filt,KPCOVID-0035_S1.lf_filt,27.833094000000003,42,1421
41,K002188_S22.lf_filt,KPCOVID-0041_S6.lf_filt,25.171721999999995,43,1421
42,K002188_S22.lf_filt,KPCOVID-0055_S9.lf_filt,21.16083,44,1421
43,K002188_S22.lf_filt,KPCOVID-0056_S10.lf_filt,27.482002,45,1421
44,K002188_S22.lf_filt,KPCOVID-0057_S11.lf_filt,31.867490000000004,46,1421
45,K002188_S22.lf_filt,KPCOVID-0065_S7.lf_filt,33.697214,47,1421
46,K002188_S22.lf_filt,KPCOVID-0066_S8.lf_filt,26.573554,48,1421
47,K002188_S22.lf_filt,KPCOVID-0067_S9.lf_filt,24.45268,49,1421
48,K002188_S22.lf_filt,KPCOVID-0097_S9.lf_filt,29.421214,50,1421
49,K002188_S22.lf_filt,KPCOVID-0111_S2.lf_filt,35.794028,51,1421
50,K002188_S22.lf_filt,KPCOVID-0112_S3.lf_filt,17.997918,52,1421
51,K002188_S22.lf_filt,KPCOVID-0113_S4.lf_filt,20.045524,53,1421
52,K002188_S22.lf_filt,KPCOVID-0115_S6.lf_filt,17.56371,54,1421
53,K002188_S22.lf_filt,KPCOVID-0116_S7.lf_filt,17.278776,55,1421
54,K002188_S22.lf_filt,KPCOVID-0118_S9.lf_filt,18.394166,56,1421
55,K002188_S22.lf_filt,KPCOVID-0119_S10.lf_filt,16.002,57,1421
56,K002188_S22.lf_filt,KPCOVID-0120_S11.lf_filt,21.095934,58,1421
57,K002188_S22.lf_filt,KPCOVID-0121_S12.lf_filt,17.278776,59,1421
58,K002188_S22.lf_filt,KPCOVID-0122_S1.lf_filt,17.278776,60,1421
59,K002188_S22.lf_filt,KPCOVID-0157_S6.lf_filt,29.383416,61,1421
60,K002188_S22.lf_filt,KPCOVID-0158_S7.lf_filt,23.278776,62,1421
61,K002188_S22.lf_filt,KPCOVID-0159_S8.lf_filt,22.171984000000002,63,1421
62,K002188_S22.lf_filt,KPCOVID-0160_S9.lf_filt,24.344697999999998,64,1421
63,K002188_S22.lf_filt,KPCOVID-0161_S10.lf_filt,21.545154,65,1421
64,K002188_S22.lf_filt,KPCOVID-0162_S11.lf_filt,21.278776,66,1421
65,K002188_S22.lf_filt,KPCOVID-0163_S1.lf_filt,20.985295999999998,67,1421
66,K002188_S22.lf_filt,KPCOVID-0164_S2.lf_filt,21.905966,68,1421
67,K002188_S22.lf_filt,KPCOVID-0165_S3.lf_filt,18.750928,69,1421
68,K002188_S22.lf_filt,KPCOVID-0167_S4.lf_filt,21.278776,70,1421
69,K002188_S22.lf_filt,KPCOVID-0168_S5.lf_filt,21.23076,71,1421
70,K002188_S22.lf_filt,KPCOVID-0171_S8.lf_filt,22.217133999999998,72,1421
71,K002188_S22.lf_filt,KPCOVID-0172_S9.lf_filt,21.492804,73,1421
72,K002188_S22.lf_filt,KPCOVID-0173_S10.lf_filt,21.903162,74,1421
73,K002188_S22.lf_filt,KPCOVID-0174_S11.lf_filt,21.606732,75,1421
74,K002188_S22.lf_filt,KPCOVID-0293_S8.lf_filt,32.588244,76,1421
75,K002188_S22.lf_filt,KPCOVID-0299_S13.lf_filt,32.74762,77,1421
76,K002188_S22.lf_filt,KPCOVID-0300_S14.lf_filt,24.851342000000002,78,1421
77,K002188_S22.lf_filt,KPCOVID-040-R_S13.lf_filt,29.293124,79,1421
78,K002188_S22.lf_filt,KPCOVID-191_S72.lf_filt,45.478362000000004,80,1421
79,K002188_S22.lf_filt,KPCOVID-192_S73.lf_filt,30.250246,81,1421
80,K002188_S22.lf_filt,KPCOVID-193_S8.lf_filt,21.428556,82,1421
81,K002188_S22.lf_filt,KPCOVID-194_S9.lf_filt,22.473371999999998,83,1421
82,K002188_S22.lf_filt,KPCOVID-195_S10.lf_filt,31.721668,84,1421
83,K002188_S22.lf_filt,KPCOVID-196_S77.lf_filt,44.580532000000005,85,1421
84,K002188_S22.lf_filt,KPCOVID-260_S62.lf_filt,54.513234,86,1421
85,K002188_S22.lf_filt,KPCOVID-261_S63.lf_filt,57.557152,87,1421
86,K002188_S22.lf_filt,KPCOVID-458_S39.lf_filt,27.278775999999997,88,1421
87,K002188_S22.lf_filt,KPCOVID-460_S41.lf_filt,21.278776,89,1421
88,K002188_S22.lf_filt,KPCOVID-462_S43.lf_filt,19.306554,90,1421
89,K002188_S22.lf_filt,KPCOVID-550_S22.lf_filt,34.696032,91,1421
90,K002188_S22.lf_filt,KPCOVID-555_S27.lf_filt,28.349442,92,1421
91,K002188_S22.lf_filt,KPCOVID-556_S28.lf_filt,28.245266,93,1421
92,K002188_S22.lf_filt,KPCOVID-558_S30.lf_filt,26.159224,94,1421
93,K002188_S22.lf_filt,KPCOVID-561_S33.lf_filt,24.083666,95,1421
94,K002188_S22.lf_filt,KPCOVID-563_S35.lf_filt,34.825162,96,1421
95,K002188_S22.lf_filt,KPCOVID-564_S36.lf_filt,23.182212,97,1421
96,K002188_S22.lf_filt,KPCOVID-567_S38.lf_filt,29.727958,98,1421
97,K002188_S22.lf_filt,KPCOVID-568_S39.lf_filt,25.046522,99,1421
98,K002188_S22.lf_filt,KPCOVID-569_S40.lf_filt,23.641962,100,1421
99,K002188_S22.lf_filt,KPCOVID-74_S4.lf_filt,32.534934,101,1421
100,K002188_S22.lf_filt,KPCOVID-75_S5.lf_filt,28.094902,102,1421
101,K002188_S22.lf_filt,KPCOVID-80_S10.lf_filt,35.930322000000004,103,1421
102,K002188_S22.lf_filt,KPCOVID-81_S11.lf_filt,31.634042000000004,104,1421
103,K002188_S22.lf_filt,KPCOVID-84_S2.lf_filt,34.658088,105,1421
104,K002188_S22.lf_filt,KPCOVID-88_S6.lf_filt,27.381442,106,1421
105,K002188_S22.lf_filt,KPCOVID-89_S7.lf_filt,33.724188,107,1421
106,K002188_S22.lf_filt,KPCOVID-91_S9.lf_filt,33.63619799999999,108,1421
107,K002189_S23.lf_filt,K002188_S22.lf_filt,17.278776,2,1421
108,K002190_S24.lf_filt,K002188_S22.lf_filt,29.373292,3,1421
109,K002191_S25.lf_filt,K002188_S22.lf_filt,20.352374,4,1421
